cell_id,scenario,snr_db,beam_index,nmse_mmse,nmse_ai,attack_type,attack_severity,trust_score,step,ue_count,load,twin_fidelity,x_m,y_m
CELL_000,UMa,12.33,25,0.024832,0.004809,normal,0.0,0.9902,0,25,0.205,0.9596,47.4,7.6
CELL_001,NTN-LEO,5.91,21,0.12159,0.02935,normal,0.0,0.9849,0,18,0.537,0.9577,200.1,21.1
CELL_002,InH,10.04,9,0.02531,0.004462,data_poisoning,0.5067,0.4446,0,28,0.94,0.9292,326.1,52.7
CELL_003,RIS,2.71,30,0.135664,0.056081,normal,0.0,0.9596,0,19,0.267,0.9555,505.3,40.8
CELL_004,UMa,12.5,30,0.048553,0.011108,normal,0.0,0.9597,0,28,0.643,0.9591,629.1,49.2
CELL_005,UMi,9.12,25,0.992013,0.209562,normal,0.0,0.9783,0,9,0.686,0.9432,802.5,66.7
CELL_006,InH,8.42,24,0.004602,0.001579,normal,0.0,0.9851,0,17,0.559,0.9599,40.1,197.0
CELL_007,RMa,11.22,12,0.023507,0.004537,normal,0.0,0.9825,0,13,0.561,0.9596,187.9,217.8
CELL_008,THz,-0.23,14,1.2,0.573046,csi_spoofing,0.665,0.2979,0,20,0.622,0.8743,339.8,207.7
CELL_009,RIS,0.19,4,0.565815,0.252529,normal,0.0,0.9829,0,27,0.643,0.9398,502.9,204.8
CELL_010,THz,5.38,14,0.359651,0.136547,normal,0.0,0.9511,0,8,0.579,0.9491,643.6,220.7
CELL_011,InH,9.42,28,0.102999,0.03415,normal,0.0,0.9711,0,24,0.554,0.9573,819.6,187.2
CELL_012,InH,-5.0,3,1.2,0.392781,adversarial,0.3988,0.5591,0,37,0.896,0.9046,45.4,360.7
CELL_013,UMa,9.87,16,0.015657,0.003644,normal,0.0,0.9927,0,39,0.736,0.9597,179.8,356.4
CELL_014,THz,21.26,18,0.073839,0.005851,pilot_contamination,0.7427,0.0605,0,9,0.222,0.915,355.9,367.6
CELL_015,RMa,4.64,10,0.005745,0.001156,data_poisoning,0.2657,0.715,0,24,0.756,0.944,495.6,361.3
CELL_016,THz,13.81,31,0.024088,0.004727,normal,0.0,0.9642,0,24,0.259,0.9596,666.6,334.3
CELL_017,NTN-LEO,16.67,13,0.033678,0.004959,normal,0.0,0.9973,0,37,0.428,0.9596,812.0,347.2
CELL_018,NTN-LEO,12.7,3,0.164983,0.043226,normal,0.0,0.9704,0,23,0.48,0.9565,60.5,484.3
CELL_019,UMa,13.77,0,0.146854,0.033068,normal,0.0,0.9762,0,13,0.369,0.9574,202.2,508.5
CELL_020,RIS,-4.39,19,0.424168,0.132387,normal,0.0,0.9728,0,37,0.442,0.9494,337.8,508.2
CELL_021,FR2-mmWave,4.77,0,0.02052,0.005306,normal,0.0,0.9892,0,18,0.412,0.9596,501.2,493.7
CELL_022,THz,7.49,26,0.005457,0.001932,normal,0.0,0.972,0,21,0.622,0.9598,648.5,496.2
CELL_023,RIS,2.12,11,0.059804,0.025171,normal,0.0,0.9908,0,33,0.9,0.958,809.1,496.3
CELL_000,RIS,15.48,3,0.002,0.001,jamming,0.2939,0.5612,1,30,0.69,0.9423,50.9,58.7
CELL_001,THz,12.03,17,0.020703,0.006257,normal,0.0,0.9906,1,23,0.732,0.9595,201.4,64.5
CELL_002,RIS,3.5,14,0.08234,0.033202,normal,0.0,0.9524,1,19,0.613,0.9573,375.7,50.0
CELL_003,NTN-LEO,19.6,1,0.002,0.001,normal,0.0,0.9984,1,20,0.578,0.9599,508.2,28.2
CELL_004,RMa,6.22,22,0.892359,0.160412,pilot_contamination,0.8616,0.05,1,35,0.52,0.8955,673.3,52.1
CELL_005,THz,9.45,6,0.068948,0.016323,normal,0.0,0.9825,1,14,0.386,0.9587,805.4,70.8
CELL_006,RIS,9.51,13,0.362006,0.056661,false_csi_injection,0.8814,0.0985,1,31,0.373,0.9026,61.7,207.8
CELL_007,FR2-mmWave,7.92,16,0.084751,0.015355,jamming,0.4495,0.356,1,16,0.504,0.9318,200.8,203.0
CELL_008,NTN-LEO,14.49,16,0.026503,0.002431,pilot_contamination,0.959,0.05,1,23,0.672,0.9023,350.6,198.4
CELL_009,FR2-mmWave,5.42,14,0.007765,0.002253,jamming,0.2022,0.6772,1,38,0.811,0.9477,493.1,175.3
CELL_010,THz,15.67,29,0.01862,0.003329,pilot_contamination,0.4075,0.4752,1,10,0.944,0.9353,671.1,201.8
CELL_011,THz,20.2,30,0.002,0.001,normal,0.0,0.9871,1,27,0.756,0.9599,806.3,200.7
CELL_012,FR2-mmWave,8.35,30,0.075659,0.018607,data_poisoning,0.3906,0.5978,1,17,0.664,0.9351,41.0,335.6
