timestamp,cell_id,power_consumption_w,cell_utilization,sleep_state,renewable_pct,carbon_intensity_gco2_kwh,traffic_demand_mbps
0,CELL_000,522.17,0.653,0,23.05,426.69,122.73
0,CELL_001,261.09,0.326,0,39.3,238.22,35.17
0,CELL_002,193.61,0.242,0,12.48,356.16,43.44
0,CELL_003,651.92,0.815,0,7.9,427.72,89.36
0,CELL_004,543.61,0.68,0,9.72,319.69,122.9
0,CELL_005,87.78,0.11,0,22.4,390.95,8.83
0,CELL_006,341.94,0.427,0,21.39,220.61,80.88
1,CELL_000,428.13,0.535,0,33.29,452.89,70.65
1,CELL_001,625.92,0.782,0,3.06,247.42,75.68
1,CELL_002,515.85,0.645,0,34.4,447.06,33.68
1,CELL_003,347.95,0.435,0,39.02,448.91,85.21
1,CELL_004,549.47,0.687,0,39.96,338.49,83.22
1,CELL_005,690.09,0.863,0,24.15,496.37,86.9
1,CELL_006,193.61,0.242,0,31.11,413.96,15.53
2,CELL_000,146.54,0.183,0,15.47,375.02,10.92
2,CELL_001,590.21,0.738,0,38.47,402.33,57.73
2,CELL_002,616.59,0.771,0,23.22,245.54,82.14
2,CELL_003,165.27,0.207,0,31.31,392.96,31.42
2,CELL_004,50.0,0.15,1,9.63,482.27,23.38
2,CELL_005,222.42,0.278,0,36.2,372.83,48.24
2,CELL_006,291.76,0.365,0,27.54,478.03,20.6
3,CELL_000,696.42,0.871,0,16.48,249.65,69.39
3,CELL_001,460.86,0.576,0,16.62,332.33,102.19
3,CELL_002,334.6,0.418,0,34.04,331.7,76.86
3,CELL_003,754.03,0.943,0,24.36,482.25,174.22
3,CELL_004,382.13,0.478,0,20.25,308.07,95.12
3,CELL_005,225.01,0.281,0,12.16,378.55,42.77
3,CELL_006,94.08,0.118,0,4.47,454.41,6.42
4,CELL_000,525.43,0.657,0,20.0,459.09,36.57
4,CELL_001,527.37,0.659,0,6.86,280.83,115.27
4,CELL_002,646.15,0.808,0,25.82,386.61,125.44
4,CELL_003,622.38,0.778,0,37.85,269.32,67.83
4,CELL_004,152.48,0.191,0,39.44,214.93,30.31
4,CELL_005,627.54,0.784,0,23.82,440.43,97.75
4,CELL_006,208.98,0.261,0,18.14,385.61,25.24
5,CELL_000,50.0,0.146,1,38.61,280.79,20.89
5,CELL_001,448.7,0.561,0,32.16,268.87,84.93
5,CELL_002,551.72,0.69,0,16.76,370.59,123.66
5,CELL_003,347.72,0.435,0,28.61,290.5,50.56
5,CELL_004,180.53,0.226,0,26.74,417.89,23.98
5,CELL_005,267.51,0.334,0,0.93,420.81,49.48
5,CELL_006,129.56,0.162,0,2.86,231.43,30.6
6,CELL_000,539.95,0.675,0,4.19,423.3,60.37
6,CELL_001,618.8,0.773,0,22.68,234.38,75.63
6,CELL_002,338.3,0.423,0,5.69,467.69,59.85
6,CELL_003,274.09,0.343,0,21.41,461.11,25.44
6,CELL_004,622.05,0.778,0,39.4,353.9,125.23
6,CELL_005,439.83,0.55,0,6.85,323.7,84.42
6,CELL_006,604.56,0.756,0,32.15,451.57,138.73
7,CELL_000,755.16,0.944,0,21.18,353.01,106.42
7,CELL_001,469.96,0.587,0,10.09,448.84,65.4
7,CELL_002,625.05,0.781,0,9.83,279.41,88.52
7,CELL_003,603.21,0.754,0,5.81,221.56,83.32
7,CELL_004,518.29,0.648,0,24.71,445.56,58.54
7,CELL_005,80.16,0.1,0,18.19,416.8,6.38
7,CELL_006,427.2,0.534,0,12.39,447.28,31.07
8,CELL_000,665.71,0.832,0,30.0,343.33,78.04
8,CELL_001,207.05,0.259,0,1.96,245.52,45.84
8,CELL_002,739.13,0.924,0,6.98,403.24,129.83
8,CELL_003,623.66,0.78,0,6.0,498.18,153.88
8,CELL_004,477.17,0.596,0,27.27,359.84,82.41
8,CELL_005,621.55,0.777,0,5.81,306.96,42.67
8,CELL_006,728.25,0.91,0,33.84,442.7,78.7
9,CELL_000,302.19,0.378,0,39.73,261.68,64.0
9,CELL_001,349.45,0.437,0,20.32,239.65,80.88
9,CELL_002,630.72,0.788,0,3.88,476.27,78.95
9,CELL_003,370.17,0.463,0,36.77,440.93,33.95
