event_id,timestamp,ue_id,source_cell,target_cell,ho_type,rsrp_source_dbm,rsrp_target_dbm,velocity_mps,success,failure_cause,delay_ms
HO_00000,488,UE_0011,CELL_005,CELL_001,inter_rat,-78.6,-72.72,19.55,1,,25.65
HO_00001,95,UE_0000,CELL_006,CELL_002,inter_freq,-93.31,-92.23,0.95,1,,64.31
HO_00002,451,UE_0011,CELL_003,CELL_003,inter_rat,-96.94,-85.44,2.2,1,,41.79
HO_00003,307,UE_0001,CELL_001,CELL_001,inter_rat,-87.31,-90.16,28.91,1,,42.83
HO_00004,6,UE_0040,CELL_000,CELL_001,intra_freq,-101.42,-96.15,25.13,1,,44.71
HO_00005,406,UE_0046,CELL_004,CELL_001,intra_freq,-96.42,-101.6,9.32,1,,47.46
HO_00006,85,UE_0032,CELL_003,CELL_002,intra_freq,-94.97,-81.15,25.66,1,,48.6
HO_00007,422,UE_0006,CELL_002,CELL_002,inter_freq,-98.76,-86.17,9.17,1,,20.94
HO_00008,106,UE_0011,CELL_004,CELL_005,inter_rat,-87.55,-97.77,13.3,1,,77.58
HO_00009,236,UE_0031,CELL_005,CELL_006,intra_freq,-97.48,-83.87,7.06,1,,73.26
HO_00010,132,UE_0019,CELL_006,CELL_004,inter_rat,-91.25,-83.06,13.92,1,,35.63
HO_00011,325,UE_0033,CELL_004,CELL_004,inter_rat,-93.72,-83.19,1.79,1,,39.69
HO_00012,133,UE_0004,CELL_005,CELL_002,intra_freq,-91.99,-81.28,24.65,1,,27.7
HO_00013,48,UE_0043,CELL_004,CELL_006,inter_freq,-89.51,-68.58,5.87,1,,37.31
HO_00014,128,UE_0039,CELL_002,CELL_002,intra_freq,-78.03,-74.8,21.77,1,,24.34
HO_00015,9,UE_0015,CELL_000,CELL_004,inter_rat,-95.37,-87.42,24.96,1,,63.64
HO_00016,459,UE_0026,CELL_000,CELL_000,inter_freq,-94.05,-84.91,22.89,1,,45.13
HO_00017,190,UE_0027,CELL_001,CELL_001,inter_rat,-86.27,-81.86,33.3,1,,75.44
HO_00018,30,UE_0012,CELL_001,CELL_004,inter_freq,-95.56,-80.99,31.23,1,,46.94
HO_00019,82,UE_0011,CELL_004,CELL_001,inter_freq,-114.44,-80.42,31.43,1,,72.28
HO_00020,31,UE_0001,CELL_004,CELL_003,inter_rat,-95.68,-88.86,30.24,1,,58.77
HO_00021,307,UE_0032,CELL_002,CELL_006,inter_rat,-85.41,-89.12,3.47,1,,33.72
HO_00022,256,UE_0024,CELL_004,CELL_005,inter_rat,-105.6,-89.87,22.65,1,,55.82
HO_00023,236,UE_0012,CELL_000,CELL_001,inter_freq,-97.15,-91.62,4.9,1,,68.83
HO_00024,308,UE_0016,CELL_002,CELL_006,inter_freq,-96.1,-83.87,25.55,1,,24.31
HO_00025,400,UE_0011,CELL_001,CELL_005,inter_rat,-92.62,-89.78,23.96,1,,22.81
HO_00026,116,UE_0037,CELL_005,CELL_006,inter_rat,-90.65,-97.25,7.74,1,,25.83
HO_00027,133,UE_0015,CELL_004,CELL_001,intra_freq,-82.25,-77.37,22.89,1,,78.07
HO_00028,294,UE_0028,CELL_002,CELL_005,inter_rat,-97.18,-85.96,34.4,1,,68.16
HO_00029,302,UE_0027,CELL_001,CELL_006,inter_rat,-96.76,-84.63,15.31,1,,51.53
HO_00030,325,UE_0003,CELL_003,CELL_006,inter_rat,-92.96,-84.82,1.54,1,,36.76
HO_00031,472,UE_0036,CELL_001,CELL_000,inter_rat,-93.44,-92.69,22.09,1,,38.24
HO_00032,120,UE_0042,CELL_004,CELL_002,intra_freq,-88.94,-87.36,25.73,1,,55.0
HO_00033,101,UE_0006,CELL_003,CELL_006,inter_freq,-86.7,-84.61,16.4,1,,65.31
HO_00034,468,UE_0049,CELL_001,CELL_004,intra_freq,-94.95,-77.94,28.78,1,,54.93
HO_00035,297,UE_0047,CELL_004,CELL_004,intra_freq,-77.29,-87.09,25.73,1,,34.46
HO_00036,380,UE_0030,CELL_005,CELL_004,inter_freq,-103.88,-82.28,18.63,1,,78.4
HO_00037,372,UE_0005,CELL_001,CELL_005,intra_freq,-99.21,-87.52,6.79,1,,76.97
HO_00038,339,UE_0038,CELL_002,CELL_000,intra_freq,-92.53,-83.95,12.45,1,,49.3
HO_00039,286,UE_0005,CELL_005,CELL_000,inter_freq,-108.79,-74.72,31.03,1,,77.1
HO_00040,302,UE_0006,CELL_003,CELL_004,inter_rat,-91.38,-79.99,1.75,1,,27.18
HO_00041,218,UE_0015,CELL_006,CELL_005,intra_freq,-103.58,-92.36,16.13,1,,40.78
HO_00042,130,UE_0016,CELL_004,CELL_002,inter_rat,-101.42,-77.18,1.84,1,,76.29
HO_00043,402,UE_0015,CELL_004,CELL_002,intra_freq,-73.93,-88.51,16.2,1,,63.27
HO_00044,461,UE_0019,CELL_001,CELL_006,inter_freq,-89.39,-96.85,8.3,1,,23.55
HO_00045,143,UE_0038,CELL_003,CELL_006,inter_rat,-95.45,-85.42,4.03,1,,67.93
HO_00046,271,UE_0007,CELL_001,CELL_000,inter_rat,-100.24,-91.12,0.54,1,,20.93
HO_00047,177,UE_0010,CELL_000,CELL_004,inter_freq,-104.39,-82.04,7.16,1,,76.46
HO_00048,98,UE_0024,CELL_006,CELL_001,inter_freq,-77.1,-89.62,19.78,1,,68.69
HO_00049,401,UE_0047,CELL_004,CELL_006,inter_freq,-99.28,-84.54,23.52,1,,65.1
HO_00050,397,UE_0037,CELL_004,CELL_004,inter_freq,-91.83,-88.68,31.14,1,,72.22
HO_00051,111,UE_0004,CELL_002,CELL_006,intra_freq,-89.64,-86.89,3.6,1,,62.68
HO_00052,119,UE_0022,CELL_005,CELL_003,intra_freq,-87.66,-79.72,19.71,1,,22.58
HO_00053,149,UE_0045,CELL_001,CELL_006,intra_freq,-99.81,-77.45,6.89,1,,40.9
HO_00054,104,UE_0049,CELL_000,CELL_001,inter_freq,-105.43,-88.15,11.65,1,,58.2
HO_00055,319,UE_0010,CELL_004,CELL_000,inter_freq,-90.72,-90.11,29.46,1,,37.33
HO_00056,486,UE_0008,CELL_001,CELL_006,intra_freq,-89.31,-79.84,13.53,1,,38.74
HO_00057,17,UE_0009,CELL_001,CELL_001,inter_freq,-88.63,-92.42,27.1,1,,44.15
HO_00058,116,UE_0028,CELL_006,CELL_006,inter_rat,-85.53,-95.22,33.88,1,,45.48
HO_00059,14,UE_0042,CELL_001,CELL_006,inter_rat,-119.49,-91.56,28.57,1,,31.28
HO_00060,390,UE_0006,CELL_004,CELL_001,inter_freq,-89.05,-90.31,9.22,1,,28.4
HO_00061,82,UE_0022,CELL_006,CELL_003,inter_rat,-109.11,-85.87,13.29,1,,32.45
HO_00062,61,UE_0033,CELL_004,CELL_001,intra_freq,-86.42,-73.69,10.78,1,,20.53
HO_00063,315,UE_0027,CELL_000,CELL_005,inter_rat,-82.04,-96.04,6.35,1,,74.36
