timestamp,ue_id,cell_id,x_m,y_m,velocity_mps,direction_deg,neighbor_cells,rsrp_dbm,handover_pending
0,UE_0000,CELL_003,556.19,346.95,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-107.07,0
5,UE_0000,CELL_003,553.29,349.14,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-94.44,0
10,UE_0000,CELL_003,550.4,351.33,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-84.37,1
15,UE_0000,CELL_003,547.5,353.51,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-95.33,0
20,UE_0000,CELL_003,544.61,355.7,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-84.83,0
25,UE_0000,CELL_003,541.71,357.89,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-105.78,0
30,UE_0000,CELL_003,538.82,360.07,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-98.77,0
35,UE_0000,CELL_003,535.92,362.26,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-77.68,0
40,UE_0000,CELL_003,533.03,364.45,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-81.43,0
45,UE_0000,CELL_003,530.13,366.63,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-89.18,0
50,UE_0000,CELL_003,527.24,368.82,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-106.28,0
55,UE_0000,CELL_003,524.34,371.01,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-77.92,0
60,UE_0000,CELL_003,521.44,373.2,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-84.8,0
65,UE_0000,CELL_003,518.55,375.38,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-80.32,0
70,UE_0000,CELL_003,515.65,377.57,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-86.45,0
75,UE_0000,CELL_003,512.76,379.76,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-92.65,0
80,UE_0000,CELL_003,509.86,381.94,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-93.24,0
85,UE_0000,CELL_003,506.97,384.13,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-76.9,0
90,UE_0000,CELL_003,504.07,386.32,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-99.77,0
95,UE_0000,CELL_003,501.18,388.51,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-86.38,0
100,UE_0000,CELL_003,498.28,390.69,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-92.66,0
105,UE_0000,CELL_003,495.39,392.88,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-92.77,0
110,UE_0000,CELL_003,492.49,395.07,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-100.06,0
115,UE_0000,CELL_003,489.6,397.25,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-91.46,0
120,UE_0000,CELL_003,486.7,399.44,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-78.47,0
125,UE_0000,CELL_003,483.8,401.63,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-80.06,0
130,UE_0000,CELL_003,480.91,403.81,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-90.19,1
135,UE_0000,CELL_003,478.01,406.0,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-101.66,0
140,UE_0000,CELL_003,475.12,408.19,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-100.78,0
145,UE_0000,CELL_003,472.22,410.38,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-103.56,0
150,UE_0000,CELL_003,469.33,412.56,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-85.04,0
155,UE_0000,CELL_003,466.43,414.75,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-120.77,0
160,UE_0000,CELL_003,463.54,416.94,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-70.49,0
165,UE_0000,CELL_003,460.64,419.12,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-110.23,0
170,UE_0000,CELL_003,457.75,421.31,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-77.77,0
175,UE_0000,CELL_003,454.85,423.5,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-93.76,1
180,UE_0000,CELL_003,451.96,425.69,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-94.21,0
185,UE_0000,CELL_003,449.06,427.87,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-96.87,0
190,UE_0000,CELL_003,446.17,430.06,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-88.4,0
195,UE_0000,CELL_003,443.27,432.25,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-95.54,0
200,UE_0000,CELL_003,440.37,434.43,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-113.74,1
205,UE_0000,CELL_003,437.48,436.62,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-95.91,0
210,UE_0000,CELL_003,434.58,438.81,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-107.09,1
215,UE_0000,CELL_003,431.69,440.99,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-104.45,0
220,UE_0000,CELL_003,428.79,443.18,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-89.45,0
225,UE_0000,CELL_003,425.9,445.37,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-86.14,0
230,UE_0000,CELL_003,423.0,447.56,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-94.44,0
235,UE_0000,CELL_003,420.11,449.74,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-88.19,0
240,UE_0000,CELL_003,417.21,451.93,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-96.94,0
245,UE_0000,CELL_003,414.32,454.12,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-87.24,0
250,UE_0000,CELL_003,411.42,456.3,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-96.26,0
255,UE_0000,CELL_003,408.53,458.49,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-79.3,0
260,UE_0000,CELL_003,405.63,460.68,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-97.38,0
265,UE_0000,CELL_003,402.73,462.87,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-104.77,0
270,UE_0000,CELL_003,399.84,465.05,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-97.88,0
275,UE_0000,CELL_003,396.94,467.24,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-82.09,0
280,UE_0000,CELL_003,394.05,469.43,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-87.49,0
285,UE_0000,CELL_003,391.15,471.61,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-101.93,0
290,UE_0000,CELL_003,388.26,473.8,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-93.89,0
295,UE_0000,CELL_003,385.36,475.99,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-99.73,0
300,UE_0000,CELL_003,382.47,478.18,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-101.61,0
305,UE_0000,CELL_003,379.57,480.36,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-90.27,0
310,UE_0000,CELL_003,376.68,482.55,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-96.78,0
315,UE_0000,CELL_003,373.78,484.74,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-103.76,0
320,UE_0000,CELL_003,370.89,486.92,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-84.43,0
325,UE_0000,CELL_003,367.99,489.11,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-104.21,0
330,UE_0000,CELL_003,365.1,491.3,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-96.81,0
335,UE_0000,CELL_003,362.2,493.48,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-87.63,1
340,UE_0000,CELL_003,359.3,495.67,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-97.08,0
345,UE_0000,CELL_003,356.41,497.86,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-97.16,0
350,UE_0000,CELL_003,353.51,500.05,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-89.08,0
355,UE_0000,CELL_003,350.62,502.23,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-94.74,0
360,UE_0000,CELL_003,347.72,504.42,36.29,142.93,"[""CELL_004"", ""CELL_005"", ""CELL_006""]",-100.83,1
365,UE_0000,CELL_002,344.83,506.61,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-74.05,0
370,UE_0000,CELL_002,341.93,508.79,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-90.89,0
375,UE_0000,CELL_002,339.04,510.98,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-88.07,0
380,UE_0000,CELL_002,336.14,513.17,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-95.98,0
385,UE_0000,CELL_002,333.25,515.36,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-75.75,0
390,UE_0000,CELL_002,330.35,517.54,36.29,142.93,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-108.99,0
395,UE_0000,CELL_002,327.46,519.73,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-90.68,0
400,UE_0000,CELL_002,329.15,521.95,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-81.28,0
405,UE_0000,CELL_002,330.84,524.17,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-76.4,0
410,UE_0000,CELL_002,332.53,526.38,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-93.05,0
415,UE_0000,CELL_002,334.23,528.6,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-82.78,0
420,UE_0000,CELL_002,335.92,530.82,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-101.84,0
425,UE_0000,CELL_002,337.61,533.04,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-88.51,0
430,UE_0000,CELL_002,339.31,535.26,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-88.21,0
435,UE_0000,CELL_002,341.0,537.48,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-96.07,0
440,UE_0000,CELL_002,342.69,539.69,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-98.61,0
445,UE_0000,CELL_002,344.38,541.91,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-109.9,0
450,UE_0000,CELL_002,346.08,544.13,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-106.28,0
455,UE_0000,CELL_002,347.77,546.35,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-87.66,0
460,UE_0000,CELL_002,349.46,548.57,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-96.48,0
465,UE_0000,CELL_002,351.16,550.79,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-84.67,0
470,UE_0000,CELL_002,352.85,553.01,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-92.13,0
475,UE_0000,CELL_002,354.54,555.22,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-93.67,0
480,UE_0000,CELL_002,356.23,557.44,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-86.63,0
485,UE_0000,CELL_002,357.93,559.66,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-98.59,0
490,UE_0000,CELL_002,359.62,561.88,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-98.03,1
495,UE_0000,CELL_002,361.31,564.1,27.91,52.65,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-103.04,0
0,UE_0001,CELL_005,12.45,349.75,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-95.79,0
5,UE_0001,CELL_005,10.94,350.3,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-95.31,0
10,UE_0001,CELL_005,9.42,350.85,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-84.66,0
15,UE_0001,CELL_005,7.91,351.4,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-107.93,0
20,UE_0001,CELL_005,6.39,351.95,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-83.46,0
25,UE_0001,CELL_005,4.88,352.5,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-110.33,0
30,UE_0001,CELL_005,3.36,353.05,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-81.58,0
35,UE_0001,CELL_005,1.85,353.6,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-87.69,0
40,UE_0001,CELL_005,0.34,354.15,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-106.28,0
45,UE_0001,CELL_005,-1.18,354.71,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-91.76,0
50,UE_0001,CELL_005,-2.69,355.26,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-96.47,0
55,UE_0001,CELL_005,-4.21,355.81,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-89.36,0
60,UE_0001,CELL_005,-5.72,356.36,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-99.47,0
