timestamp,ue_id,cell_id,slice,cqi,sinr_db,rsrp_dbm,rsrq_db,mcs,prb_allocated,buffer_occupancy,throughput_mbps,latency_ms,packet_loss
0,UE_0000,CELL_000,eMBB,6,6.68,-85.99,-8.24,7,4,0.976,28.2,15.62,0.0064
0,UE_0001,CELL_000,URLLC,7,8.18,-84.45,-8.89,8,13,0.823,28.74,0.77,0.0277
0,UE_0002,CELL_006,mMTC,14,22.03,-95.6,-12.74,13,14,0.971,57.26,3.28,0.0097
0,UE_0003,CELL_002,eMBB,12,19.26,-90.61,-10.35,13,13,0.745,50.57,3.54,0.0185
0,UE_0004,CELL_000,URLLC,15,24.03,-96.37,-15.36,15,7,0.67,66.69,6.95,0.035
0,UE_0005,CELL_001,mMTC,12,19.35,-102.99,-11.07,13,8,0.288,12.84,0.83,0.01
0,UE_0006,CELL_005,eMBB,11,17.31,-87.42,-17.83,10,6,0.459,14.58,1.81,0.0057
0,UE_0007,CELL_005,URLLC,7,8.07,-83.38,-18.73,6,15,0.635,38.38,5.22,0.0152
0,UE_0008,CELL_004,mMTC,8,11.3,-84.7,-12.77,7,19,0.234,1.33,4.62,0.0147
0,UE_0009,CELL_005,eMBB,13,20.52,-100.13,-11.37,14,13,0.406,5.82,0.71,0.0011
0,UE_0010,CELL_000,URLLC,5,5.43,-89.16,-13.88,4,18,0.152,31.97,6.46,0.0191
0,UE_0011,CELL_003,mMTC,8,11.61,-95.96,-18.75,9,2,0.118,60.05,5.04,0.035
0,UE_0012,CELL_003,eMBB,15,25.39,-99.28,-9.05,14,15,0.272,10.95,10.72,0.0228
0,UE_0013,CELL_003,URLLC,3,1.18,-89.79,-11.05,3,4,0.857,21.6,7.71,0.0216
0,UE_0014,CELL_002,mMTC,15,27.81,-97.87,-16.09,15,15,0.042,45.75,4.86,0.0072
0,UE_0015,CELL_002,eMBB,15,26.71,-109.27,-14.56,14,18,0.581,83.82,8.21,0.0011
0,UE_0016,CELL_001,URLLC,6,6.88,-91.24,-8.65,7,6,0.491,32.28,2.32,0.0237
0,UE_0017,CELL_003,mMTC,11,17.14,-104.76,-13.66,12,9,0.022,58.21,12.55,0.007
0,UE_0018,CELL_002,eMBB,3,1.6,-100.84,-12.22,3,14,0.769,1.91,6.71,0.0115
0,UE_0019,CELL_005,URLLC,6,7.28,-103.7,-3.49,5,16,0.808,15.3,1.77,0.0145
0,UE_0020,CELL_004,mMTC,10,14.67,-102.86,-10.22,10,11,0.435,47.25,4.75,0.0447
0,UE_0021,CELL_000,eMBB,11,17.29,-79.33,-11.12,11,13,0.374,3.33,7.02,0.0131
0,UE_0022,CELL_000,URLLC,5,4.05,-75.19,-5.11,6,17,0.179,4.56,17.38,0.0098
0,UE_0023,CELL_001,mMTC,6,7.84,-87.28,-13.58,6,10,0.144,0.16,2.19,0.0066
0,UE_0024,CELL_000,eMBB,2,-1.4,-95.58,-15.37,3,15,0.2,11.57,3.82,0.0369
0,UE_0025,CELL_004,URLLC,10,15.25,-100.81,-13.31,9,10,0.663,38.47,5.23,0.0462
0,UE_0026,CELL_003,mMTC,11,16.94,-92.88,-16.34,10,14,0.419,74.28,1.63,0.0467
0,UE_0027,CELL_000,eMBB,9,12.7,-112.56,-14.36,10,1,0.109,55.72,3.23,0.0116
0,UE_0028,CELL_002,URLLC,6,6.5,-101.35,-15.51,6,3,0.867,53.4,1.51,0.0118
0,UE_0029,CELL_004,mMTC,6,6.23,-72.96,-0.38,7,2,0.594,1.41,2.36,0.0155
0,UE_0030,CELL_006,eMBB,13,21.22,-89.78,-13.5,12,11,0.115,3.91,0.59,0.0087
0,UE_0031,CELL_001,URLLC,8,10.56,-89.34,-7.95,9,8,0.318,4.8,14.67,0.0426
0,UE_0032,CELL_003,mMTC,10,14.22,-69.88,-5.71,9,19,0.049,11.96,7.85,0.0051
0,UE_0033,CELL_002,eMBB,15,24.53,-91.85,-10.08,16,2,0.844,54.51,11.3,0.0401
0,UE_0034,CELL_004,URLLC,10,15.42,-98.51,-12.41,11,16,0.514,32.97,3.84,0.0193
0,UE_0035,CELL_003,mMTC,11,16.41,-91.45,-13.49,11,10,0.417,4.12,1.45,0.0183
0,UE_0036,CELL_005,eMBB,10,14.51,-107.63,-13.34,9,16,0.916,31.94,3.2,0.0268
0,UE_0037,CELL_006,URLLC,15,28.95,-89.73,-8.69,15,11,0.633,23.18,6.51,0.0101
0,UE_0038,CELL_004,mMTC,9,13.47,-80.95,-9.0,10,12,0.084,46.55,0.91,0.0479
0,UE_0039,CELL_005,eMBB,8,10.85,-76.87,-9.45,9,16,0.946,19.73,13.7,0.0048
0,UE_0040,CELL_003,URLLC,7,9.78,-81.14,-9.56,7,10,0.523,48.71,11.38,0.0246
0,UE_0041,CELL_003,mMTC,2,-1.51,-102.09,-9.64,3,3,0.088,13.15,1.14,0.0387
0,UE_0042,CELL_001,eMBB,14,23.55,-92.21,-11.06,15,13,0.364,30.99,1.03,0.0074
0,UE_0043,CELL_001,URLLC,14,23.0,-107.7,-12.5,13,14,0.553,202.9,10.84,0.024
0,UE_0044,CELL_000,mMTC,15,25.63,-84.72,-8.63,15,9,0.851,174.65,0.96,0.0294
0,UE_0045,CELL_000,eMBB,8,11.34,-93.71,-6.76,9,16,0.295,75.13,1.67,0.0151
0,UE_0046,CELL_003,URLLC,11,17.21,-111.95,-21.24,12,1,0.284,52.03,0.5,0.05
0,UE_0047,CELL_006,mMTC,7,9.7,-93.34,-8.96,8,18,0.029,7.47,2.92,0.0388
0,UE_0048,CELL_005,eMBB,8,11.85,-88.75,-13.06,7,1,0.052,25.99,30.85,0.0119
0,UE_0049,CELL_000,URLLC,1,-3.67,-103.14,-9.0,2,18,0.772,7.5,8.23,0.002
1,UE_0000,CELL_003,eMBB,15,25.83,-93.89,-15.35,14,9,0.735,14.37,7.42,0.0355
1,UE_0001,CELL_001,URLLC,15,28.77,-111.59,-10.43,14,12,0.042,213.65,3.29,0.0087
1,UE_0002,CELL_002,mMTC,8,10.73,-107.84,-14.62,7,11,0.636,41.38,0.89,0.0473
1,UE_0003,CELL_005,eMBB,9,12.26,-112.72,-7.73,8,13,0.941,2.21,13.17,0.0202
1,UE_0004,CELL_006,URLLC,15,31.62,-94.17,-11.36,15,2,0.428,51.03,11.45,0.0206
1,UE_0005,CELL_002,mMTC,7,8.33,-114.07,-20.29,7,7,0.036,6.27,1.3,0.0113
1,UE_0006,CELL_000,eMBB,11,17.78,-99.88,-13.14,11,12,0.316,114.76,1.57,0.0216
1,UE_0007,CELL_004,URLLC,10,15.05,-63.83,-11.11,11,14,0.886,34.42,2.15,0.026
1,UE_0008,CELL_001,mMTC,12,18.44,-105.22,-9.34,13,17,0.056,7.85,4.57,0.0086
1,UE_0009,CELL_005,eMBB,14,22.48,-116.98,-13.34,14,16,0.857,31.95,2.07,0.03
1,UE_0010,CELL_004,URLLC,0,-8.72,-101.52,-2.32,0,9,0.311,0.1,5.72,0.0194
1,UE_0011,CELL_005,mMTC,10,15.8,-96.03,-8.84,11,10,0.164,14.07,1.29,0.0495
1,UE_0012,CELL_006,eMBB,6,7.9,-78.97,-12.77,6,10,0.393,5.42,4.85,0.0217
1,UE_0013,CELL_003,URLLC,15,27.52,-99.34,-15.76,14,18,0.045,28.52,4.75,0.0245
1,UE_0014,CELL_006,mMTC,0,-4.15,-104.44,-18.75,0,16,0.638,0.1,12.37,0.0381
1,UE_0015,CELL_005,eMBB,11,16.63,-107.1,-9.17,12,7,0.844,48.35,7.6,0.0426
1,UE_0016,CELL_002,URLLC,9,12.54,-104.04,-16.13,9,8,0.499,13.78,0.72,0.0199
1,UE_0017,CELL_002,mMTC,11,17.67,-94.39,-15.06,10,7,0.192,1.96,20.78,0.0224
1,UE_0018,CELL_002,eMBB,4,3.41,-95.82,-10.95,3,4,0.634,19.8,3.38,0.0239
1,UE_0019,CELL_004,URLLC,9,12.98,-90.64,-21.64,8,19,0.782,103.36,0.56,0.0366
1,UE_0020,CELL_005,mMTC,7,8.3,-92.17,-5.56,7,3,0.288,34.11,4.45,0.0173
1,UE_0021,CELL_006,eMBB,3,1.79,-110.37,-13.69,4,10,0.986,40.44,7.75,0.0206
1,UE_0022,CELL_000,URLLC,15,25.2,-102.53,-14.55,16,6,0.823,2.05,8.82,0.0024
1,UE_0023,CELL_006,mMTC,6,6.73,-92.18,-17.69,6,15,0.865,11.0,4.62,0.0024
1,UE_0024,CELL_006,eMBB,15,26.61,-100.29,-11.87,14,19,0.677,4.87,13.0,0.0448
1,UE_0025,CELL_003,URLLC,15,25.9,-107.49,-21.65,15,7,0.853,33.23,4.82,0.0198
1,UE_0026,CELL_000,mMTC,9,13.48,-108.36,-9.68,8,13,0.718,45.2,4.67,0.0068
1,UE_0027,CELL_002,eMBB,12,19.92,-115.77,-11.34,12,18,0.497,13.89,2.13,0.0034
