event_id,timestamp,source_ip,target_cell,threat_type,is_attack,packet_rate_pps,auth_failures,spectrum_anomaly_score,flow_entropy,bytes_transferred
SEC_000000,71,10.179.134.111,CELL_005,normal,0,37.14,0,0.25,0.985,910772
SEC_000001,7,10.102.151.222,CELL_000,ddos,1,1207.66,1,0.705,0.366,108282
SEC_000002,64,10.192.109.29,CELL_005,normal,0,97.67,2,0.148,0.646,356002
SEC_000003,269,10.22.163.94,CELL_003,normal,0,79.34,0,0.024,0.551,828837
SEC_000004,386,10.217.54.50,CELL_005,normal,0,0.91,0,0.185,0.9,785169
SEC_000005,425,10.210.231.43,CELL_003,normal,0,45.48,0,0.244,0.93,480735
SEC_000006,316,10.25.167.102,CELL_006,normal,0,17.08,0,0.223,0.951,136938
SEC_000007,260,10.23.130.252,CELL_002,normal,0,22.97,0,0.223,0.784,545232
SEC_000008,107,10.27.52.189,CELL_005,normal,0,246.47,0,0.143,0.519,308933
SEC_000009,103,10.203.51.30,CELL_004,ddos,1,1571.76,2,0.936,0.389,428500
SEC_000010,99,10.174.66.30,CELL_000,normal,0,220.2,0,0.273,0.586,481676
SEC_000011,71,10.24.179.129,CELL_005,normal,0,51.77,0,0.085,0.809,752358
SEC_000012,218,10.94.145.120,CELL_002,normal,0,66.83,0,0.002,0.672,445386
SEC_000013,142,10.17.36.141,CELL_006,normal,0,114.84,0,0.17,0.942,297234
SEC_000014,324,10.29.166.70,CELL_003,ddos,1,455.46,1,0.832,0.322,659958
SEC_000015,224,10.107.7.89,CELL_006,normal,0,67.16,0,0.181,0.796,43865
SEC_000016,256,10.143.19.167,CELL_005,normal,0,134.2,0,0.138,0.636,109870
SEC_000017,401,10.210.52.95,CELL_004,normal,0,122.19,0,0.278,0.799,615553
SEC_000018,304,10.8.97.249,CELL_001,normal,0,28.93,0,0.264,0.737,104651
SEC_000019,413,10.254.12.145,CELL_001,normal,0,105.74,0,0.14,0.943,543726
SEC_000020,42,10.252.19.156,CELL_005,normal,0,287.72,0,0.25,0.861,964022
SEC_000021,86,10.78.119.139,CELL_001,rogue_gnb,1,1042.3,4,0.857,0.011,464943
SEC_000022,213,10.211.5.196,CELL_005,normal,0,22.87,0,0.209,0.839,10525
SEC_000023,24,10.137.6.45,CELL_000,jamming,1,54.84,5,0.863,0.24,711685
SEC_000024,140,10.136.53.176,CELL_003,normal,0,33.74,0,0.072,0.738,684010
SEC_000025,458,10.205.80.123,CELL_000,jamming,1,861.24,8,0.984,0.039,359649
SEC_000026,241,10.94.230.249,CELL_001,normal,0,18.87,0,0.016,0.565,75702
SEC_000027,18,10.65.202.53,CELL_005,normal,0,74.29,0,0.213,0.958,36779
SEC_000028,382,10.102.33.152,CELL_003,normal,0,54.56,0,0.212,0.929,770362
SEC_000029,268,10.128.108.243,CELL_001,spoofing,1,1796.14,5,0.954,0.389,202848
SEC_000030,118,10.203.77.128,CELL_004,normal,0,51.17,0,0.186,0.863,937448
SEC_000031,480,10.182.219.248,CELL_002,normal,0,169.19,0,0.237,0.972,29878
SEC_000032,172,10.79.126.237,CELL_003,normal,0,5.97,0,0.151,0.938,570709
SEC_000033,61,10.238.160.247,CELL_006,normal,0,72.48,0,0.033,0.731,23314
SEC_000034,15,10.212.79.226,CELL_000,normal,0,27.1,0,0.219,0.803,575353
SEC_000035,373,10.8.152.189,CELL_001,normal,0,195.57,0,0.177,0.678,870808
SEC_000036,493,10.18.61.16,CELL_003,jamming,1,218.16,3,0.809,0.172,950448
SEC_000037,345,10.40.178.80,CELL_005,normal,0,104.14,0,0.279,0.752,337417
SEC_000038,147,10.118.10.184,CELL_005,normal,0,47.08,0,0.003,0.831,24891
SEC_000039,240,10.172.116.115,CELL_004,normal,0,21.53,0,0.224,0.512,664368
SEC_000040,187,10.105.106.127,CELL_002,normal,0,162.57,0,0.116,0.671,894652
SEC_000041,126,10.240.185.166,CELL_000,normal,0,111.9,0,0.275,0.504,762707
SEC_000042,362,10.3.11.132,CELL_006,normal,0,16.79,1,0.115,0.806,705568
SEC_000043,350,10.9.53.128,CELL_004,normal,0,30.72,0,0.084,0.896,706060
SEC_000044,30,10.179.57.4,CELL_006,normal,0,9.37,0,0.109,0.727,392623
SEC_000045,415,10.145.23.31,CELL_006,normal,0,41.17,0,0.014,0.723,481065
SEC_000046,3,10.190.133.226,CELL_004,normal,0,181.29,0,0.247,0.789,380730
SEC_000047,466,10.212.154.238,CELL_004,normal,0,158.03,0,0.059,0.507,346697
SEC_000048,368,10.228.234.196,CELL_000,normal,0,146.03,1,0.227,0.602,122553
SEC_000049,206,10.28.52.60,CELL_003,normal,0,96.21,0,0.136,0.564,391149
SEC_000050,331,10.46.252.239,CELL_002,normal,0,42.03,0,0.005,0.984,821837
SEC_000051,387,10.251.227.50,CELL_001,normal,0,9.22,0,0.139,0.63,81386
SEC_000052,104,10.113.201.33,CELL_002,normal,0,69.97,0,0.272,0.513,254414
SEC_000053,127,10.157.6.150,CELL_003,spoofing,1,139.75,3,0.772,0.352,334792
SEC_000054,392,10.2.132.63,CELL_003,normal,0,123.57,0,0.064,0.627,327542
SEC_000055,374,10.165.247.130,CELL_001,normal,0,14.0,0,0.282,0.658,468510
SEC_000056,10,10.146.166.115,CELL_004,normal,0,363.81,0,0.157,0.798,563949
SEC_000057,28,10.146.14.84,CELL_005,normal,0,32.12,0,0.261,0.638,881467
SEC_000058,130,10.98.107.196,CELL_004,normal,0,133.39,0,0.034,0.695,75873
SEC_000059,2,10.128.32.91,CELL_006,normal,0,77.37,0,0.014,0.963,943893
SEC_000060,67,10.22.204.239,CELL_005,normal,0,5.1,0,0.183,0.956,227954
SEC_000061,222,10.250.23.143,CELL_002,ddos,1,1394.63,2,0.99,0.419,128138
SEC_000062,378,10.55.203.220,CELL_000,normal,0,201.17,0,0.272,0.902,741355
SEC_000063,354,10.82.105.239,CELL_000,normal,0,52.62,0,0.253,0.864,75777
SEC_000064,424,10.61.172.237,CELL_002,normal,0,0.71,0,0.013,0.968,275605
SEC_000065,50,10.103.72.243,CELL_006,normal,0,58.66,0,0.006,0.78,233111
SEC_000066,278,10.169.120.253,CELL_006,normal,0,27.94,0,0.084,0.693,381954
SEC_000067,461,10.59.203.160,CELL_004,ddos,1,895.12,1,0.904,0.158,86056
SEC_000068,235,10.57.26.131,CELL_001,normal,0,2.4,0,0.287,0.698,555189
SEC_000069,34,10.212.45.217,CELL_005,normal,0,6.58,0,0.016,0.504,206204
SEC_000070,33,10.7.54.89,CELL_005,spoofing,1,494.96,3,0.747,0.336,265173
SEC_000071,30,10.142.98.228,CELL_006,normal,0,0.5,0,0.047,0.571,562803
SEC_000072,410,10.151.10.60,CELL_005,normal,0,177.58,0,0.114,0.723,393975
