timestamp,slice,prb_utilization,active_ues,sla_compliance,throughput_mbps,latency_p99_ms
0,eMBB,0.668,22,0.9635,91.57,27.17
0,URLLC,0.784,21,0.9878,106.74,7.77
0,mMTC,0.56,18,0.9704,111.15,0.33
1,eMBB,0.738,11,0.9056,232.67,46.16
1,URLLC,0.873,14,0.9115,185.15,22.25
1,mMTC,0.291,17,0.9995,140.09,17.66
2,eMBB,0.505,17,0.9518,59.11,0.35
2,URLLC,0.554,21,0.9354,103.89,2.73
2,mMTC,0.83,22,0.979,260.61,3.8
3,eMBB,0.343,19,0.9882,144.99,8.94
3,URLLC,0.475,6,0.9363,92.97,4.53
3,mMTC,0.786,12,0.9367,100.83,26.03
4,eMBB,0.605,19,0.9378,118.98,10.61
4,URLLC,0.488,8,0.9457,73.34,36.36
4,mMTC,0.627,11,0.9145,102.57,5.25
5,eMBB,0.67,15,0.9295,112.3,5.7
5,URLLC,0.353,20,0.9941,143.37,4.21
5,mMTC,0.312,11,0.9401,134.26,7.82
6,eMBB,0.353,9,0.9566,167.77,2.73
6,URLLC,0.432,6,0.9241,180.9,6.69
6,mMTC,0.602,16,0.9408,64.93,12.63
7,eMBB,0.7,23,0.9681,258.51,1.57
7,URLLC,0.829,15,0.9803,262.7,4.65
7,mMTC,0.627,17,0.985,304.66,31.16
8,eMBB,0.453,6,0.9843,209.51,9.5
8,URLLC,0.623,6,0.9949,297.41,8.12
8,mMTC,0.814,17,0.9606,269.13,4.57
9,eMBB,0.456,9,0.9815,64.58,22.09
9,URLLC,0.584,24,0.9889,256.71,10.52
9,mMTC,0.777,12,0.9857,338.16,2.87
10,eMBB,0.211,18,0.9157,85.2,0.02
10,URLLC,0.496,16,0.9476,244.31,1.42
10,mMTC,0.394,17,0.9484,88.45,2.66
11,eMBB,0.73,15,0.9324,164.45,5.01
11,URLLC,0.405,20,0.994,86.92,14.09
11,mMTC,0.268,12,0.9592,46.85,13.49
12,eMBB,0.593,19,0.9712,182.54,17.32
12,URLLC,0.732,16,0.9115,231.24,3.89
12,mMTC,0.446,11,0.9331,143.52,19.96
13,eMBB,0.461,22,0.9119,220.04,9.99
13,URLLC,0.499,15,0.9511,185.77,1.13
13,mMTC,0.763,12,0.9958,213.9,4.84
14,eMBB,0.376,17,0.964,93.22,7.27
14,URLLC,0.549,18,0.9437,177.17,2.93
14,mMTC,0.289,9,0.9939,131.86,5.89
15,eMBB,0.748,19,0.9638,245.43,5.86
15,URLLC,0.709,10,0.9463,263.7,1.12
15,mMTC,0.631,20,0.9928,226.03,0.84
16,eMBB,0.211,18,0.9845,88.28,19.49
16,URLLC,0.351,17,0.9771,105.93,1.97
16,mMTC,0.85,5,0.9255,264.86,5.47
17,eMBB,0.363,24,0.939,82.62,7.87
17,URLLC,0.888,9,0.9217,174.34,2.26
17,mMTC,0.615,18,0.933,150.69,9.68
18,eMBB,0.206,9,0.9221,69.4,0.1
18,URLLC,0.316,10,0.9115,134.4,1.23
18,mMTC,0.659,15,0.9378,130.28,8.4
19,eMBB,0.48,7,0.9448,142.2,1.64
19,URLLC,0.853,16,0.9252,399.05,0.79
19,mMTC,0.438,19,0.9286,85.31,9.17
20,eMBB,0.742,16,0.9689,313.47,7.88
20,URLLC,0.639,23,0.9518,293.95,0.97
20,mMTC,0.371,21,0.9393,111.94,3.29
