agent,ai_type,train_r2_score,train_samples,validation_status,avg_confidence,train_accuracy,train_detection_accuracy,train_csi_compression_ratio,train_kg_nodes,train_cfam_features,train_intents_supported
scheduler,sklearn,0.1272391507902636,25000.0,validated,0.849,,,,,,
resource,sklearn,0.9997030402169336,3500.0,validated,0.85,,,,,,
mobility,sklearn,,5000.0,validated,0.713,1.0,,,,,
security,sklearn,,5000.0,validated,0.815,,1.0,,,,
energy,sklearn,,3500.0,validated,0.88,1.0,,,,,
qos,sklearn,,25000.0,validated,0.9,0.69476,,,,,
slice,sklearn,,1500.0,validated,0.91,1.0,,,,,
qoe,sklearn,0.9729550064126619,25000.0,validated,0.82,,,,,,
channel_estimation,sklearn,-0.0387723570090166,5000.0,validated,0.88,,,,,,
beamforming,sklearn,0.9999972749334618,25000.0,validated,0.86,,,,,,
csi,sklearn,0.10683430027078467,25000.0,validated,0.84,,,2.0,,,
air_interface,sklearn,0.12515446104130556,25000.0,validated,0.92,,,,,,
digital_twin,sklearn,0.9996665250366467,3500.0,validated,0.7,,,,,,
spectrum,sklearn,,5000.0,validated,0.89,1.0,,,,,
self_healing,sklearn,,5000.0,validated,0.9,1.0,,,,,
knowledge,llm,,,skipped,0.0,,,,175.0,5.0,
intent,llm,,,skipped,0.0,,,,,,5.0
