kpi,before,after,delta,delta_pct
avg_throughput_mbps,10.0,19.07,9.07,90.7
avg_latency_ms,5.0,3.49,-1.51,-30.2
avg_cqi,8.0,8.71,0.71,8.88
avg_sinr_db,12.0,15.38,3.38,28.17
total_power_w,2800.0,1680.0,-1120.0,-40.0
fairness_index,1.0,0.538,-0.462,-46.2
handover_success_rate,0.98,0.98,0.0,0.0
security_score,0.95,0.95,0.0,0.0
qoe_score,4.95,4.97,0.02,0.4
qos_sla_compliance,0.95,0.965,0.015,1.58
energy_efficiency,0.1785,0.5673,0.3888,217.82
beamforming_gain_db,3.0,3.87,0.87,29.0
csi_accuracy,0.92,0.667,-0.253,-27.5
